159,-18,-9,1.8593965269409707,2
165,-15,-3,55.53379208588806,4
167,-14,-10,51.92618694552164,1
168,-14,-9,6.217199227815066,1
174,-12,-3,16.255651464787658,2
178,-10,-10,74.47417152511262,4
181,-8,-13,36.47952457522818,2
183,-7,-13,30.311988820841037,1
184,-7,-11,46.52346636296646,4
186,-6,-11,51.51742549360672,4
188,-5,-3,34.143799286584525,3
190,-4,-10,71.04259407845815,1
191,-3,-16,76.295106534244,1
192,-3,-8,75.12891030242267,3
197,-1,-17,63.485874661434025,3
198,-1,-13,55.92794513597096,3
199,-1,-10,56.26046659129221,2
200,-1,-2,62.24224828311179,4
201,0,-11,32.544723178827454,2
202,0,-7,74.6057269064281,1
203,0,-4,1.7151985839047423,2
207,1,-17,36.23850155736208,4
213,3,-13,61.9450321714713,3
214,3,-7,55.827596263334534,2
218,4,-4,6.7607325553249735,4
234,8,-9,60.79729183007989,2
240,9,-15,43.51364357579804,4
241,9,-2,21.954742943823522,1
247,11,-4,86.41242563306447,4
250,12,11,87.05732105911996,1
252,13,12,16.89013164525918,2
257,14,-17,91.46509711695663,3
258,14,-13,45.30991429433826,4
259,14,13,58.34265547996683,2
260,15,-18,88.93040988333614,4
262,16,-12,2.2335198718417657,2
263,16,0,42.35026253438966,2
264,16,5,36.46282723576916,3
268,18,-17,85.21791423650633,2
269,18,14,11.836357549562853,4
276,19,7,37.3240389904409,3
277,19,10,91.3183194188411,2
281,20,9,26.127314924456023,4
283,21,13,30.89365563336386,4
284,21,15,16.9010275150132,3
287,22,-15,38.43381705863251,1
288,22,2,7.324178607950846,1
296,24,-21,41.689242938313875,2
297,24,-11,10.548168804826371,1
